iter	RMSE
0	31.80218
1	30.95233628
2	30.01585577
3	29.14013877
4	28.39761995
5	27.67875456
6	26.96127809
7	26.27888258
8	25.65923031
9	25.10501192
10	24.47022964
11	23.93065784
12	23.45501401
13	22.96468421
14	22.48402919
15	22.03518072
16	21.60056043
17	21.21429355
18	20.80914039
19	20.37262097
20	20.00187292
21	19.63533379
22	19.32154767
23	19.05894807
24	18.78588353
25	18.49580902
26	18.26485308
27	18.03794713
28	17.78632172
29	17.58294869
30	17.35753897
31	17.18393469
32	16.98591038
33	16.8073851
34	16.61988498
35	16.46431472
36	16.3062838
37	16.17391199
38	16.02773605
39	15.90479741
40	15.78199418
41	15.67143698
42	15.57514396
43	15.48768617
44	15.39776905
45	15.30137821
46	15.21601699
47	15.14184874
48	15.05725927
49	14.97028126
50	14.89661229
51	14.82897455
52	14.77060388
53	14.70776155
54	14.65092483
55	14.5876074
56	14.51848279
57	14.46445057
58	14.4254729
59	14.37007893
60	14.31877231
61	14.27810541
62	14.23329076
63	14.19089621
64	14.15247904
65	14.10213437
66	14.06759787
67	14.0325839
68	13.98845322
69	13.95383128
70	13.93187684
71	13.89884387
72	13.87048522
73	13.84883909
74	13.82116989
75	13.78904282
76	13.76888328
77	13.74027558
78	13.71057959
79	13.6897707
80	13.6673547
81	13.64169818
82	13.61728445
83	13.59742061
84	13.5787585
85	13.55883495
86	13.53733304
87	13.51043232
88	13.49376629
89	13.46876605
90	13.44742876
91	13.42362472
92	13.40208642
93	13.37944915
94	13.37083315
95	13.34976847
96	13.33179677
97	13.31121078
98	13.29477576
99	13.2777791
100	13.26073571
101	13.2429066
102	13.22192821
103	13.20224375
104	13.18814118
105	13.1704155
106	13.15503905
107	13.14305344
108	13.12661811
109	13.11500495
110	13.09840239
111	13.0863326
112	13.07953696
113	13.06293612
114	13.05972034
115	13.04234453
116	13.02969099
117	13.01700111
118	12.99511433
119	12.9759024
120	12.95899912
121	12.9427339
122	12.9257311
123	12.91179638
124	12.89845537
125	12.8873704
126	12.87302643
127	12.86107747
128	12.84372507
129	12.83463246
130	12.82186828
131	12.81131928
132	12.79705917
133	12.77786563
134	12.7636454
135	12.74965151
136	12.72967273
137	12.70954892
138	12.69316938
139	12.68212985
140	12.67075942
141	12.65522655
142	12.63965721
143	12.62725792
144	12.61155701
145	12.59928836
146	12.58676992
147	12.57373202
148	12.56361817
149	12.55023526
150	12.54019114
151	12.52438861
152	12.51856814
153	12.51113103
154	12.50333867
155	12.48760275
156	12.47373562
157	12.46154436
158	12.44924328
159	12.44225172
160	12.42838408
161	12.40985461
162	12.3907113
163	12.37818024
164	12.36059701
165	12.35001872
166	12.33752957
167	12.32194817
168	12.30510916
169	12.29380764
170	12.28510025
171	12.27165097
172	12.26034153
173	12.24739598
174	12.23392715
175	12.22148717
176	12.20494094
177	12.1977987
178	12.18332006
179	12.17174291
180	12.15784073
181	12.14434268
182	12.12935695
183	12.12017272
184	12.10536965
185	12.08978504
186	12.07529204
187	12.05937563
188	12.04591621
189	12.03312566
190	12.01553819
191	11.99785778
192	11.98379846
193	11.9730203
194	11.96076911
195	11.94532596
196	11.93670874
197	11.92084337
198	11.9060144
199	11.89487148
200	11.88548319
201	11.8774683
202	11.86437504
203	11.84729381
204	11.82928806
205	11.81685672
206	11.80460253
207	11.79414648
208	11.78472519
209	11.77580031
210	11.76076119
211	11.75021665
212	11.73821614
213	11.72811665
214	11.71769216
215	11.70756572
216	11.69484259
217	11.68849912
218	11.67953287
219	11.66573623
220	11.65636857
221	11.64318592
222	11.62623856
223	11.61201165
224	11.60060001
225	11.58915794
226	11.5771383
227	11.56731992
228	11.55643122
229	11.542318
230	11.53014713
231	11.52002423
232	11.50917075
233	11.49915445
234	11.48894888
235	11.4761613
236	11.46592674
237	11.45387972
238	11.4393585
239	11.43213035
240	11.41998372
241	11.40733364
242	11.39531183
243	11.3856006
244	11.37105806
245	11.35968574
246	11.35052405
247	11.33494753
248	11.32625515
249	11.31727034
250	11.31008959
251	11.29926274
252	11.28233211
253	11.26889333
254	11.25503802
255	11.24686454
256	11.24203096
257	11.23314721
258	11.21849686
259	11.20615042
260	11.19841903
261	11.18900517
262	11.18073884
263	11.17117885
264	11.15895788
265	11.14563481
266	11.13235845
267	11.12467967
268	11.11342423
269	11.10345392
270	11.09419406
271	11.08486192
272	11.07780071
273	11.0687973
274	11.05979836
275	11.04896716
276	11.03806931
277	11.02894208
278	11.01682271
279	11.00609678
280	10.99444799
281	10.98452789
282	10.97864663
283	10.96912427
284	10.95794197
285	10.94848127
286	10.93353799
287	10.92439991
288	10.91332731
289	10.90660454
290	10.90272198
291	10.89252271
292	10.88752906
293	10.87546848
294	10.86338701
295	10.85148198
296	10.84024078
297	10.83085946
298	10.81938639
299	10.81249242
300	10.80556012
301	10.79687702
302	10.78663558
303	10.77588527
304	10.76670446
305	10.75623026
306	10.74557788
307	10.73856603
308	10.73072909
309	10.71772171
310	10.71144472
311	10.69978422
312	10.6932807
313	10.68373545
314	10.6737236
315	10.66946951
316	10.66040969
317	10.65411147
318	10.64395251
319	10.63557463
320	10.62591661
321	10.60837035
322	10.60133698
323	10.59289898
324	10.58414073
325	10.5721294
326	10.56474726
327	10.5513168
328	10.53842923
329	10.52949183
330	10.51931531
331	10.51012937
332	10.50094106
333	10.49539656
334	10.48970884
335	10.47380732
336	10.46530348
337	10.45740138
338	10.45332521
339	10.44654466
340	10.4387956
341	10.43104585
342	10.42544243
343	10.42073958
344	10.41331596
345	10.39656743
346	10.38657519
347	10.38216443
348	10.3746407
349	10.36320128
350	10.35655279
351	10.34630887
352	10.33229387
353	10.32378874
354	10.31720164
355	10.30313145
356	10.29114532
357	10.2808758
358	10.27154804
359	10.2648332
360	10.25390119
361	10.2495086
362	10.24027499
363	10.22713167
364	10.21595188
365	10.21156969
366	10.2036629
367	10.19585685
368	10.18756423
369	10.17824946
370	10.16651468
371	10.15596698
372	10.14798377
373	10.14092272
374	10.13246201
375	10.11878189
376	10.10773678
377	10.09628859
378	10.08662207
379	10.07973286
380	10.07319716
381	10.06570053
382	10.05723415
383	10.05122876
384	10.0472778
385	10.03896075
386	10.03094781
387	10.02062515
388	10.00948729
389	10.00122236
390	9.991039494
391	9.979916023
392	9.968353598
393	9.96108898
394	9.955988458
395	9.950756667
396	9.938126366
397	9.925870388
398	9.919859582
399	9.907508068
400	9.894724342
401	9.890186231
402	9.883188502
403	9.875621518
404	9.868776612
405	9.865217705
406	9.852803939
407	9.848296458
408	9.844774931
409	9.83717767
410	9.83049411
411	9.82356372
412	9.819810557
413	9.812208239
414	9.806348234
415	9.79451844
416	9.78791411
417	9.778307091
418	9.769443553
419	9.763872126
420	9.751902708
421	9.744506879
422	9.737925744
423	9.728670287
424	9.725392979
425	9.716228704
426	9.709838073
427	9.698076847
428	9.692214687
429	9.689671156
430	9.676649757
431	9.669655115
432	9.662463764
433	9.658088202
434	9.651974952
435	9.641944161
436	9.636778004
437	9.627510598
438	9.623905227
439	9.615513977
440	9.604537826
441	9.597507891
442	9.591800965
443	9.584844467
444	9.575261204
445	9.569834277
446	9.560241022
447	9.554217002
448	9.547317828
449	9.53744247
450	9.530437745
451	9.522625775
452	9.513996916
453	9.504216315
454	9.495784519
455	9.483518769
456	9.478842929
457	9.470834199
458	9.461674805
459	9.45397915
460	9.44795805
461	9.44399513
462	9.434046654
463	9.428119164
464	9.423719292
465	9.418838823
466	9.409925482
467	9.404288345
468	9.400100494
469	9.396626081
470	9.393454558
471	9.38567352
472	9.376391068
473	9.36758023
474	9.361120775
475	9.353621892
476	9.346010151
477	9.335117881
478	9.328087535
479	9.323035632
480	9.316773654
481	9.309049711
482	9.300582397
483	9.296194055
484	9.28849315
485	9.284137891
486	9.272577747
487	9.267935033
488	9.260593745
489	9.252295274
490	9.246034999
491	9.235339283
492	9.231347742
493	9.222022736
494	9.215825716
495	9.205930591
496	9.193165236
497	9.186926719
498	9.180793591
499	9.173890581
500	9.164013318
501	9.154276726
502	9.150541459
503	9.141441628
504	9.135818065
505	9.127828575
506	9.121318476
507	9.114666968
508	9.112198607
509	9.105402819
510	9.097046268
511	9.087240722
512	9.084867776
513	9.072720367
514	9.07011556
515	9.058037194
516	9.054227026
517	9.04714934
518	9.042346783
519	9.034540867
520	9.027827022
521	9.020398461
522	9.0172429
523	9.008287851
524	9.001440075
525	8.991484749
526	8.988859731
527	8.98226773
528	8.976631871
529	8.974045646
530	8.967525655
531	8.96437293
532	8.95797131
533	8.951847073
534	8.943620349
535	8.935456268
536	8.926569691
537	8.921575396
538	8.915572823
539	8.905896962
540	8.898169788
541	8.889663435
542	8.881983969
543	8.878719126
544	8.872049037
545	8.869068698
546	8.8586453
547	8.851512507
548	8.848089751
549	8.841947043
550	8.834414762
551	8.829551521
552	8.823769104
553	8.819259108
554	8.814625419
555	8.808396266
556	8.80180851
557	8.79502129
558	8.792815319
559	8.781275737
560	8.777565244
561	8.773372272
562	8.764091107
563	8.76010477
564	8.753037402
565	8.747755134
566	8.741800898
567	8.734346926
568	8.727317414
569	8.719015898
570	8.715132656
571	8.710938265
572	8.706390896
573	8.70372544
574	8.697286329
575	8.691532753
576	8.685155495
577	8.681869577
578	8.676029017
579	8.669180602
580	8.665474358
581	8.661323938
582	8.65609947
583	8.650444271
584	8.644668205
585	8.64022335
586	8.632486593
587	8.62575105
588	8.622035775
589	8.616452956
590	8.611331229
591	8.602666333
592	8.599720892
593	8.589640064
594	8.58447012
595	8.574843787
596	8.571216979
597	8.565903245
598	8.561137752
599	8.557016445
600	8.554413009
601	8.550778685
602	8.545995764
603	8.541559556
604	8.529429158
605	8.523792917
606	8.519498758
607	8.516715227
608	8.510804842
609	8.507199142
610	8.502871561
611	8.498827691
612	8.493691822
613	8.486972431
614	8.480924386
615	8.478511974
616	8.475516303
617	8.472602029
618	8.468323753
619	8.464280752
620	8.461726188
621	8.456145004
622	8.452281498
623	8.447018731
624	8.441858619
625	8.432791813
626	8.430019726
627	8.425048287
628	8.422616717
629	8.417476809
630	8.414596886
631	8.406731556
632	8.401995929
633	8.392561576
634	8.38561154
635	8.375481401
636	8.371638729
637	8.368649159
638	8.362449136
639	8.353560822
640	8.35082172
641	8.347092589
642	8.340260605
643	8.337831565
644	8.333374959
645	8.330329977
646	8.320930968
647	8.317635267
648	8.314525469
649	8.307336778
650	8.299163291
651	8.294412141
652	8.285240884
653	8.281418626
654	8.273480124
655	8.270478347
656	8.261510555
657	8.258724346
658	8.251567837
659	8.244050691
660	8.239753352
661	8.238300923
662	8.232664765
663	8.228772529
664	8.221255646
665	8.218829
666	8.216711801
667	8.213736217
668	8.210656345
669	8.202710998
670	8.194495915
671	8.189995666
672	8.186211596
673	8.184190128
674	8.182128708
675	8.176580658
676	8.174010119
677	8.171133755
678	8.166523049
679	8.163081495
680	8.15693628
681	8.152847832
682	8.149310334
683	8.141371987
684	8.135940335
685	8.129718396
686	8.126601507
687	8.123109144
688	8.115208596
689	8.107345678
690	8.101369217
691	8.096558067
692	8.091603184
693	8.082379864
694	8.079594378
695	8.074558812
696	8.069658857
697	8.066621664
698	8.062644562
699	8.058969902
700	8.053125576
701	8.050524763
702	8.045254207
703	8.040747117
704	8.038958402
705	8.033643379
706	8.027378431
707	8.020598678
708	8.016770999
709	8.014705914
710	8.007446197
711	8.005123912
712	8.00025846
713	7.995260703
714	7.993328504
715	7.990321626
716	7.984931514
717	7.982734686
718	7.980152616
719	7.976714753
720	7.974804976
721	7.970325417
722	7.964292418
723	7.961398383
724	7.955523747
725	7.949226967
726	7.944117237
727	7.941912941
728	7.929773741
729	7.92704927
730	7.923136297
731	7.921291379
732	7.917206722
733	7.908900654
734	7.905959369
735	7.903041428
736	7.894370167
737	7.888210167
738	7.883975421
739	7.880219738
740	7.874184177
741	7.869813923
742	7.866679226
743	7.86269455
744	7.859204442
745	7.855376959
746	7.85201813
747	7.850004312
748	7.843956892
749	7.842136384
750	7.837055074
751	7.833635459
752	7.831130099
753	7.827142792
754	7.823397057
755	7.818112581
756	7.813405423
757	7.807303102
758	7.803230482
759	7.798618844
760	7.79465822
761	7.792658962
762	7.789792813
763	7.784591223
764	7.781911412
765	7.776507669
766	7.771932991
767	7.77016244
768	7.761542958
769	7.758533111
770	7.75292148
771	7.748184613
772	7.743059353
773	7.738161905
774	7.733272021
775	7.730364965
776	7.726172274
777	7.720579924
778	7.714493971
779	7.706576893
780	7.700873232
781	7.69689837
782	7.691641711
783	7.689702874
784	7.687916076
785	7.683158495
786	7.681318614
787	7.679728575
788	7.67629956
789	7.671210939
790	7.669797592
791	7.659267687
792	7.656010059
793	7.653894079
794	7.649020192
795	7.646841528
796	7.644723699
797	7.642694988
798	7.63720577
799	7.632842758
800	7.63119213
801	7.627588903
802	7.621789741
803	7.617754725
804	7.612361512
805	7.608817762
806	7.606711646
807	7.598406387
808	7.59178976
809	7.587542625
810	7.583249177
811	7.578078308
812	7.57654752
813	7.571078564
814	7.566140669
815	7.563585527
816	7.560188883
817	7.555496332
818	7.55122321
819	7.54212996
820	7.536131294
821	7.529773986
822	7.524558923
823	7.518029567
824	7.514064076
825	7.51101997
826	7.506811857
827	7.502217056
828	7.498037881
829	7.493795882
830	7.489297058
831	7.484427585
832	7.48078119
833	7.477200297
834	7.47323701
835	7.469405082
836	7.466745257
837	7.462796592
838	7.457686073
839	7.455904389
840	7.453410285
841	7.45096158
842	7.447234524
843	7.442557067
844	7.439671304
845	7.43532508
846	7.430757953
847	7.428287388
848	7.425111079
849	7.417942951
850	7.411239453
851	7.406640807
852	7.401160306
853	7.394417279
854	7.389566139
855	7.387226848
856	7.383965673
857	7.381044946
858	7.374450347
859	7.368697019
860	7.366381389
861	7.360611547
862	7.357276494
863	7.350184663
864	7.3479491
865	7.342198877
866	7.338725214
867	7.331408821
868	7.327451116
869	7.323000334
870	7.32066119
871	7.316350398
872	7.314169422
873	7.311797925
874	7.309107186
875	7.306810253
876	7.303059092
877	7.297301655
878	7.294259779
879	7.29116253
880	7.283919881
881	7.27745111
882	7.272537161
883	7.270725322
884	7.26642458
885	7.264312698
886	7.258192423
887	7.253591932
888	7.2495293
889	7.245741794
890	7.242917122
891	7.238872508
892	7.233876453
893	7.230375079
894	7.226706033
895	7.222237741
896	7.218368389
897	7.214731952
898	7.206177547
899	7.202002724
900	7.199860363
901	7.195854005
902	7.194199814
903	7.19294654
904	7.188607299
905	7.181841612
906	7.176713044
907	7.173320702
908	7.171092712
909	7.166801678
910	7.162152617
911	7.159197707
912	7.155957977
913	7.154667987
914	7.148071218
915	7.146935019
916	7.142063825
917	7.139984425
918	7.137055053
919	7.131791733
920	7.127839775
921	7.120560049
922	7.11560468
923	7.111310027
924	7.107611732
925	7.104046515
926	7.10054043
927	7.094486865
928	7.089601297
929	7.085603597
930	7.077800548
931	7.073890986
932	7.069852529
933	7.064711955
934	7.061391223
935	7.058127854
936	7.053138989
937	7.051284911
938	7.047801288
939	7.041590725
940	7.035185227
941	7.029603219
942	7.023666598
943	7.018012335
944	7.016404918
945	7.013045029
946	7.008847399
947	7.003823937
948	7.00043666
949	6.998860759
950	6.995548517
951	6.992164334
952	6.989596804
953	6.986340654
954	6.983497395
955	6.977320011
956	6.974683715
957	6.968867194
958	6.966972392
959	6.960828031
960	6.958988592
961	6.954425881
962	6.949699499
963	6.947582504
964	6.941746002
